name,address,postcode,state,city,phone,email,principal_name,latitude,longitude
Pusat Jagaan Setia Meru Day Care Center in Setia Alam,"Jalan Setia Impian U13/4f, Setia Alam, 40170 Shah Alam, Selangor",40170,Selangor,Shah Alam,+60 12-211 8448,,,3.0992196,101.4458671
Tadika Al Baghdadi Bandar Tasik Kesuma Beranang,"1-1, Jln Kesuma 3/11, Bandar Tasik Kesuma, 43700 Semenyih, Selangor",43700,Selangor,Semenyih,+60 11-2697 1912,apcberanang@gmail.com,,2.9058845,101.8659787
Tadika Cahaya Taqwa,"37, Jalan Cecawi 6/25, Kota Damansara, 47810 Petaling Jaya, Selangor",47810,Selangor,Petaling Jaya,+60 3-6156 2245,,,3.1571596,101.5759824
Tadika Si Kecil Pintar,"23, Jalan Prima Saujana 1/1, Prima Saujana, 43000 Kajang, Se, 23, Jalan Prima Saujana 1/1, Prima Saujana, 43000 Kajang, Selangor",43000,Selangor,Kajang,+60 16-298 0050,harmonie@q-dees.com,Harmonie Ngooi,3.0074637,101.8077038
DSTAR BABY CARE CENTRE,"64A, Jalan BPU 1, Bandar Puchong Utama, 47140 Puchong, Selangor",47140,Selangor,Puchong,+60 12-855 7964,dstarkids@gmail.com,,2.9950675,101.6208523
"Bondamama Kids Center (Taska), Balakong Jaya","Kids Centre No. 32, Jalan Balakong Jaya 2, Taman Balakong Jaya, Selangor Darul Ehsan, 43300 Serdang",43300,Selangor,Serdang,+60 17-324 5516,,,3.012963,101.751119
Tadika Ummi Bestari Kota Damansara,"2, Jalan Cecawi 6/16, Kota Damansara, 47810 Petaling Jaya, Selangor",47810,Selangor,Petaling Jaya,+60 12-320 0871,tadikaummibestari@gmail.com,,3.1597183,101.5763363
The ChildTime Preschool & Child Care Centre,"4808-0-23 Ground Floor, Persiaran Flora, CBD 2, 63000 Cyberjaya, Selangor",63000,Selangor,Cyberjaya,+60 12-696 0970,hi@kindergarten.com,,2.9261384,101.6509675
Cleverland Playschool - Elmina Green,"No 2-1 & 2, 2, Persiaran Casuarina, Elmina Green, 40160 Shah Alam, Selangor",40160,Selangor,Shah Alam,+60 19-768 2799,cleverland.playschool@gmail.com,,3.2082549,101.4973242
PASTI Muhammad Al-Fateh,"Kampung Baru, 50300 Kuala Lumpur, Federal Territory of Kuala Lumpur",50300,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 11-1929 5997,,,3.1672363,101.706574
Tadika Norzie Syg,"no seksyen 3 tambahan, 46, Jalan 3/23, 43650 Bandar Baru Bangi, Selangor",43650,Selangor,Bandar Baru Bangi,+60 17-442 3050,,,2.98799,101.7928451
Unikidsity Ampang Jaya,"d20, Jalan Hillside Estate, Ampang Jaya, 68000 Ampang, Selangor",68000,Selangor,Ampang Jaya,+60 12-225 5335,info@unikidsity.com.my,,3.1582919,101.7647548
Pipakids Playschool Bukit Beruntung,,,,,+60 17-411 7522,,,4.186514,109.1677
Sparkles Montessori TTDI,"53, Persiaran Zaaba, Taman Tun Dr Ismail, 60000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",60000,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 17-330 7873,sparklesara38@gmail.com,,3.1426614,101.6252572
MN Future Childcare Center,"Sd residence, 10, Jln 15/2A, Taman Wilayah Selayang, 68100 Batu Caves, Selangor",68100,Selangor,Batu Caves,+60 11-1869 9412,,,3.2380208,101.6607098
Tadika Krista @ Pandan Perdana,"68000, 56, Jalan Perdana 2/14, Pandan Perdana, 55300 Kuala Lumpur, Selangor",55300,Selangor,Kuala Lumpur,+60 12-514 6373,,,3.1171147,101.7402287
Pusat Jagaan Kanak-kanak Nur Kasih Kesuma,"Bandar Sri Kesuma, 47120 Semenyih, Selangor",47120,Selangor,Semenyih,+60 13-389 4151,,,2.9100681,101.8719607
Taska An Najihin,"2, Jalan Putra Bahagia 8/4d, Putra Heights, 47650 Subang Jaya, Selangor",47650,Selangor,Subang Jaya,+60 13-266 5615,,,2.9990585,101.5691042
Tadika AVERI Prima Sri Gombak,"Lot No 123, 1st and 2nd Floor, Jalan Prima SG 5, Prima Seri Gombak, 68000 Batu Caves, Selangor",68000,Selangor,Batu Caves,+60 13-370 2988,hello@averipreschool.com,,3.2364874,101.6999779
Tadika Cahaya Hati Seri Kembangan,"No 51, Jalan KP, 1/2 Kota Perdana, Pusat Bandar Putra Permai, 43300 Seri Kembangan, Selangor",43300,Selangor,Seri Kembangan,+60 12-608 0565,,,2.9887575,101.66255
Pertim HQ: Persatuan Tadika Islam Malaysia,"1, Jalan Putra Mahkota 7/6b, Pusat Bandar Putra Point, 47650 Subang Jaya, Selangor",47650,Selangor,Subang Jaya,+60 12-317 5872,pertimkumalaysia@gmail.com,,2.9959143,101.5735729
Pasti Saidatina Khadijah,"5, Jalan Ibukota 9, Taman Ibukota, 53100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",53100,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 13-990 8592,mahfuzanhp4@gmail.com,,3.2096765,101.7138602
Strawberry Wonderland Eco Majestic,"3, Jalan Eco Majestic 10/1C, Eco Majestic, 43500 Semenyih Semenyih, 43500 Beranang, Selangor",43500,Selangor,Beranang,+60 16-355 8600,tanml@strawberry.com.my,,2.9006002,101.8358233
Pusat Jagaan Kanak-kanak Lily Izdihar,"28, Jalan Anggerik Liparis 31/146, Kota Kemuning, 40460 Shah Alam, Selangor",40460,Selangor,Shah Alam,+60 3-5525 8664,,,2.9824794,101.5398514
(The Pano - Jalan Ipoh) Polka Dot Bear Montessori Baby & Child Care Centre,"No. 556, Residensi Pano, A-G-03, Batu 3 ½, Jln Ipoh, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",51200,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 13-347 1355,casatrop@babybeartalks.com,,3.1857963,101.6805502
Tadika Kasa Cemerlang,"No. 657, Jalan Belakang Pulau Ketam, 42940, Port Klang, Selangor, 42940 Port Klang",42940,Selangor,Port Klang,+60 12-634 4959,,,2.9998699,101.3928644
SS2 Taska Big Apple,"80, Jalan SS 2/3, SS 2, 47300 Petaling Jaya, Selangor",47300,Selangor,Petaling Jaya,+60 17-856 8388,,,3.1103868,101.6151526
Tadika Kota Intelek - Bandar Bestari,"Pusat Perniagaan Bestari, Taman Perindustrian Air Hitam Phase 1 & 2, 69-1, Jln Permata 1/KS09, 42000 Port Klang, Selangor",42000,Selangor,Port Klang,+60 10-260 7573,,,2.9635494,101.4651225
Zander Montessori,"No 2-01, Jln Damai Perdana 6/1E, Bandar Damai Perdana, 56000 Cheras, Wilayah Persekutuan Kuala Lumpur",56000,Federal Territory of Kuala Lumpur,Cheras,+60 12-683 3635,zander.tots@gmail.com,,3.0533631,101.7383934
TADIKA SERI SEMPURNA - (TAMAN ALAM NYATA),"FASA 2, 22A, LORONG NONG, 1A, Jalan Raja Nong, Taman Alam Nyata, 41200 Klang, Selangor",41200,Selangor,Klang,+60 16-320 4993,,,3.0227383,101.4661841
Apple King Kindergarten Setia Ecohill Centre,"70-76, Jln Ecohill 1/3D, Setia Ecohill, 43500 Semenyih, Selangor",43500,Selangor,Semenyih,+60 3-8725 4998,appleking2000@gmail.com,,2.9247451,101.8529207
LU Kidz Childcare Center Seri Kembangan (playschool),"B-16, 1, Jalan Atmosphere 4, pusat perniagaan atmosphere, 43300 Seri Kembangan, Selangor",43300,Selangor,Seri Kembangan,+60 12-991 3403,,,2.9813129,101.6626807
Little Caliphs Kindergarten Tadika Bukit Rahman Putra Sungai Buloh,"No. 1, Jalan BRP 7/1, Bukit Rahman Putra, 47000 Sungai Buloh, Selangor",47000,Selangor,Sungai Buloh,+60 19-310 4500,hjroslan.littlecaliphs@gmail.com,,3.2313087,101.5547459
Pink Tower Child Care Centre (PT51),"51, Jalan Puteri 5/7, Bandar Puteri, 47100 Puchong, Selangor",47100,Selangor,Puchong,+60 3-8066 7724,enquiry@pinktowerchildcarecentre.com,,3.0166889,101.6161127
Tadika Indera Pintar,"Bandar Indera Mahkota, 25200 Kuantan, Pahang",25200,Pahang,Kuantan,+60 13-986 6755,,,3.8201201,103.2997006
Pasti Nurin,"Kampung Cheras Baru, Selangor, 56100 Pandan",56100,Selangor,Pandan,+60 16-655 6914,,,3.106946,101.752097
TADIKA JASMIN CERIA,"12, Jln Mutiara 6/5, Selayang Baru, 68100 Batu Caves, Selangor",68100,Selangor,Batu Caves,+60 18-262 1410,,,3.2549787,101.6609616
Tadika Sri Harapan Klang,"Lorong Temenggung 17a, Taman Sentosa Perdana, 41200 Klang, Selangor",41200,Selangor,Klang,+60 19-736 8554,,,3.0064692,101.4836284
Tadika Suria Sempurna,"J-2-1, J-2-2 & J-2-3, Pusat Perdangangan Bandar, Persiaran Jalil 1, Bukit Jalil, 57000 Kuala Lumpur, Federal Territory of Kuala Lumpur",57000,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 12-217 1417,,,3.0528032,101.6711522
TADIKA LITTLE CALIPHS TAMAN BENTARA,"No.25, Jln Pipit 5/60, Taman Bentara, 42500 Telok Panglima Garang, Selangor",42500,Selangor,Telok Panglima Garang,+60 10-539 8936,neurokhalifah@gmail.com,,2.9229037,101.5105476
Taska Anggerik(Swasta),"1, Jalan Lumpit Dua 18/35B, Seksyen 18, 40000 Shah Alam, Selangor",40000,Selangor,Shah Alam,+60 19-277 8841,,,3.0512529,101.5211819
Taska Mama Hayati,"No.250, Jalan Permai, Taman Sri Gombak, 68100 Batu Caves, Selangor",68100,Selangor,Batu Caves,+60 11-2361 7027,,,3.2488796,101.7053296
Funkids Pandan Perdana,"2, Jalan Perdana 6/5, Pandan Perdana, 55300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",55300,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 3-9202 3107,funkids.childcare@gmail.com,,3.1112577,101.7422492
The children's house Montessori Mont Kiara,"Lot 15229, Jalan Dutamas Hartamas, Dutamas, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50480,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 18-232 2699,contact@thechildrenshouse.com.my,,3.1729136,101.6628177
Tabika Perpaduan Taman Sri GombakA,"Jalan SG 9/20, Taman Sri Gombak, 68100 Batu Caves, Selangor",68100,Selangor,Batu Caves,+60 3-8943 1582,,,3.2495578,101.7013232
Taska Haluan Insan,"2, Jalan 3/40, Seksyen 3 Bandar Baru Bangi, 43650 Bandar Baru Bangi, Selangor",43650,Selangor,Bandar Baru Bangi,+60 11-1181 8115,,,2.9367105,101.7797702
Choo Choo Train Baby & Child Care Centre,"A-GF-06, Sunway Nexis, Jalan PJU 5/1, Kota Damansara, 47810 Petaling Jaya, Selangor",47810,Selangor,Petaling Jaya,+60 12-679 2532,choochoocare@gmail.com,,3.1500631,101.594689
"Tadika Naluri Bestari Seksyen 4, Kota Damansara",,,,,+60 19-665 9268,naluribestari.edu@gmail.com,,,
Dzul Iman Smart Khalifah Seksyen 2,"No.10, Jalan Bunga Kenanga 2/1, Seksyen 2, 40000 Shah Alam, Selangor",40000,Selangor,Shah Alam,+60 19-614 1672,tadikashahalam@gmail.com,,3.0687625,101.5080087
TADIKA ANAK WAWASAN CEMERLANG,"NO 1 JALAN INTAN 19 TAMAN YAYASAN IV, 42600 Jenjarom, Selangor",42600,Selangor,Jenjarom,+60 16-336 3037,,,2.8707131,101.4981653
MyGenius Kindergarten Eco Sanctuary,"30, Jalan Eco Santuari 8/1B, Eco Santuari, 42500 Telok Panglima Garang, Selangor",42500,Selangor,Telok Panglima Garang,+60 11-2626 8321,mygenius.site@gmail.com,,2.9435627,101.5412736
Shining Star Preschool PJ | Kindergarten in Kelana Jaya,"3, Jalan SS 4d/18, Ss 4, 47301 Petaling Jaya, Selangor",47301,Selangor,Petaling Jaya,+60 12-334 1364,o@shiningstarpreschool.com.my,,3.1097375,101.5970795
SMART IQ CARE CENTRE. Cawangan Kedua,"1-64A, Jalan Putra Perdana 1/1, Taman Putra Perdana, 47130 Puchong, Selangor",47130,Selangor,Puchong,+60 13-235 0001,,,2.9485441,101.6192786
Pasti As-Syakirin Seri Raya,"No. 1, Jln Suria 1, Taman Prima Suria, 43200 Cheras, Selangor",43200,Selangor,Cheras,+60 18-256 2645,,,3.0662904,101.7717633
Tadika Vonad Seksyen 7 Bandar Baru Bangi,"95, Jalan 7/3a, Seksyen 7 Bandar Baru Bangi, 43650 Bandar Baru Bangi, Selangor",43650,Selangor,Bandar Baru Bangi,+60 18-961 3005,,,2.9700879,101.7803034
Nimblebee Putrajaya Presint 14,,,,,+60 17-320 0383,shahdanial.work@gmail.com,,2.9263616,101.696445
Tadika Akhlak Genius,"1, Jalan PUJ 6/4, Taman Puncak Jalil, 43300 Seri Kembangan, Selangor",43300,Selangor,Seri Kembangan,+60 11-1082 1275,,,3.0225063,101.6732248
Tadika Islam Medina Zaara Ampang,"35, Jalan 4b, Ampang Jaya, 68000 Ampang, Selangor",68000,Selangor,Ampang Jaya,+60 17-359 5937,,,3.1597855,101.7660911
International Montessori Centre (IMC) Nido and Tot Child Care Centre,"C-72-1 & C-73, 1, Jalan C180/1, Dataran C180, 43200 Cheras, Selangor",43200,Selangor,Cheras,+60 19-200 8655,imcnidotoddler.c180@gmail.com,,3.0378056,101.76554
Transit Bayu Mewah,"2, Jln Gurney 2, Kampung Datuk Keramat, 54000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",54000,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 3-2202 7936,,,3.1677023,101.7161482
Taska Violet,"No. 1, Lorong Sungai Bertek 2,Kampung Telok Gadong Klang,, 41250, Klang, Selangor, 41100",41100,Selangor,Klang,+60 3-3373 5736,,,3.038099,101.425404
My First Step Early Childhood Centre,"NO. 76, Ground Floor, Jalan SS 22/21, Damansara Jaya, 47400 Petaling Jaya, Selangor",47400,Selangor,Petaling Jaya,+60 10-920 2773,info@myfirststep.my,,3.126088,101.6154915
Cherry Grove TTDI,"62, Jalan Datuk Sulaiman, Taman Tun Dr Ismail, 60000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",60000,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 3-7733 0784,enqare@cherrygrovettdi.com.my,,3.1474143,101.6289398
Tadika Junior Jaya Besteri,"No. 287, Jalan Desa Utama, Taman Desa, 58100 Kuala Lumpur, Wilayah Persekutuan",58100,Wilayah Persekutuan,Kuala Lumpur,+60 3-7982 7242,,,3.1071076,101.6844616
PASTI AN NAJIHAH,"Flat Taman Melati Block D2, Jalan Taman Melati 1, Taman Melati, 53100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",53100,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 17-685 7507,,,3.225978,101.72636
Genius Aulad KL Traders Square,"No 10-1 & 11-1 Plaza KL Traders Square, Blok A, Jln Gombak, 53000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",53000,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 17-313 9100,thoriq@synchronet.com.my,,3.2039678,101.7024251
Brainy Bunch Montessori Playschool Bandar Saujana Putra,"Jln SP 1/1, Bandar Saujana Putra, 41200 Jenjarom, Selangor",41200,Selangor,Jenjarom,+60 16-229 3864,tebet@brainybunch.com,,2.9522599,101.5777605
Tadika Pooi Leng KLBC,"70, Changkat Bukit Bintang, Bukit Bintang, 50200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50200,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 3-2141 9154,pl@klbc.org.my,,3.1466766,101.7098507
Taska Puteri Elena Southville City,"C-01-11, Savanna Lifestyle Retail, Jalan BBLS 2, Bandar Baru Lembah Selatan, 43800 Dengkil, Selangor",43800,Selangor,Dengkil,+60 11-5421 5598,taskaputerielena@gmail.com,,2.9018648,101.7640056
Baby Gems,"43, Lorong Batu Nilam 17K, Bandar Bukit Tinggi 2, 41200 Klang, Selangor",41200,Selangor,Klang,+60 17-337 7757,,,2.997534,101.438974
Anje International Quranic Preschool Nilai Impian,"222, Jln Laman Kenanga 3/3, Nilai Impian, 71800 Nilai, Negeri Sembilan",71800,Negeri Sembilan,Nilai,+60 14-321 4999,nilaijayaedu@gmail.com,,2.843271,101.8043035
Tadika Tunas Bestari,"2, Jalan Pinang Siri 18/3, Seksyen 18, 40200 Shah Alam, Selangor",40200,Selangor,Shah Alam,+60 19-242 9086,info@tunasbestari.edu.my,,3.0455147,101.5217546
IQKid Daycare Centre Klang 吧生安亲班,"Wisma Tlt, Level 2, Jalan Bukit Kuda, Kawasan 15, 41300 Klang, Selangor",41300,Selangor,Klang,+60 12-225 5425,enquiry@iqkid.com,,3.0469883,101.4515816
Tadika Arif Minda Putra Heights,"Lot 6-1 & 8, 1, Jalan Putra Permai 10/5A, Putra Heights, 47650 Subang Jaya, Selangor",47650,Selangor,Subang Jaya,+60 12-608 6058,info@arifminda.com,,2.9849645,101.565125
Little Caliphs Putrajaya Presint 11,"23, Jalan P11d/14, Presint 11, 62300 Putrajaya, Wilayah Persekutuan Putrajaya",62300,Putrajaya,Putrajaya,+60 14-225 0505,hjroslan.littlecaliphs@gmail.com,,2.9648805,101.6729031
Star Kids Eduland,"30, Jalan Bunga Melur 4, Taman Muda, 68000 Kuala Lumpur, Selangor",68000,Selangor,Kuala Lumpur,+60 3-2858 4315,,,3.1190784,101.7591249
BUKU learning centre 布谷补习中心 Taman Equine,"7-1 & 9-1 JLN Equine 1A,TMN EQUINE, 43300 SERI KEMBANGAN, SELANGOR SERI KEMBANGAN, 43300 SELANGOR, Selangor",43300,Selangor,SELANGOR,+60 14-365 8035,,,2.997104,101.678029
Taska Adem @ Adem home's Childcare Centre,"17, Jalan Maju 25/94, Taman Sri Muda, 40400 Shah Alam, Selangor",40400,Selangor,Shah Alam,+60 17-888 6115,,,3.0240108,101.5407338
Tadika Chim (HQ),"55, Jln 14/29, Section 14, 46100 Petaling Jaya, Selangor",46100,Selangor,Petaling Jaya,+60 3-7956 0997,,,3.1065599,101.6312418
PowerKids Parklane OUG,"D1-1, Parklane, 11, Jalan 1/152, Taman Perindustrian Oug, 58200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",58200,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 12-386 1123,powerkidschool@gmail.com,,3.0668363,101.6583816
Tadika Nas Genius,"12, Jalan Wangsa Budi 1, Wangsa Melawati, 53300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",53300,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 12-266 1920,,,3.2046469,101.7450074
"R.E.A.L Kids, Cyberjaya","No 5-8, 1st Floor, Kanvas @ Prima 15,, Jalan Teknokrat 6, Cyberjaya, 63000 Cyberjaya, Selangor",63000,Selangor,Cyberjaya,+60 3-8322 4546,aradamansara@realkids.edu.my,,2.9134817,101.6550543
Tadika Anak Bijak PLT,"1, Jln Kenari 17, Bandar Puchong Jaya, 47100 Puchong, Selangor",47100,Selangor,Puchong,+60 3-5878 5986,,,3.0480821,101.623799
PASTI Insyirah,"Warisan Putra, 6, Jalan Warisan Putra 2, Taman aman, Kampung Jenderam Hilir, 43800 Dengkil, Selangor",43800,Selangor,Dengkil,+60 17-297 7522,,,2.884769,101.7276261
Taska Cahaya Aulad,"Kota Perdana, 43300 Seri Kembangan, Selangor",43300,Selangor,Seri Kembangan,+60 12-721 1455,,,2.9895067,101.6623858
Young Brain Development Centre,"1st Floor, 38-1, Jalan Alfa C U6/C, Pusat Perdagangan Subang Permai, 40150 Shah Alam, Selangor",40150,Selangor,Shah Alam,+60 19-363 4411,,,3.1387116,101.526427
Cambridge Kids USJ,"87, Jalan USJ 21/10, UEP, 47600 Subang Jaya, Selangor",47600,Selangor,Subang Jaya,+60 3-8023 5248,,,3.0438077,101.5806779
Tadika Tender Care,"2, Jalan USJ 4/4B, Taman Seafield Jaya, 46700, Subang Jaya, Selangor, 47600",47600,Selangor,Subang Jaya,+60 3-5633 9811,,,3.043901,101.5806499
Tadika Anak Manis 美丽儿幼儿园,"2, Jalan USJ 12/1m, Usj 12, 47630 Subang Jaya, Selangor",47630,Selangor,Subang Jaya,+60 19-611 8921,,,3.0386344,101.5745996
Tadika Didikan Mahir u4,"1, Jalan Tasik Raja Lumu U4/14, U 4, 40160 Shah Alam, Selangor",40160,Selangor,Shah Alam,+60 12-318 6371,,,3.1754172,101.5528502
Early Explorers Child Care Centre (formerly known as MYchildCare Centre),"4, Jalan Anggerik Doritis 31/156, Kota Kemuning, 40460 Shah Alam, Selangor",40460,Selangor,Shah Alam,+60 18-378 3886,,,2.9901019,101.5441558
Choo Choo Train Baby & Child Care Centre,"F-G-15, Block F, Plaza Arkadia, 3, Jalan Intisari, Desa Parkcity, 52200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",52200,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 12-679 2532,choochoocare@gmail.com,,3.187411,101.6355462
Taska Pupanita Dbkl,"Menara Dbkl, Tingkat 2, Jln Raja Laut, 50350 Kuala Lumpur, Wilayah Persekutuan",50350,Wilayah Persekutuan,Kuala Lumpur,+60 3-2617 9870,,,3.152546,101.693947
Tadika Bir Ali Saujana Utama,"12, Jalan Hillpark Aspirasi 10/3, Bandar Hillpark, 40170 Puncak Alam, Selangor",40170,Selangor,Puncak Alam,+60 17-488 2024,,,3.2016268,101.4654099
Small Wonder Preschool Taman OUG Junior & Senior (Formerly Taska & Tadika OUG),"20, Jalan Hujan Batu 1, Jalan Klang Lama, Taman OUG, 58200 Kuala Lumpur, WP Kuala Lumpur",58200,WP Kuala Lumpur,Kuala Lumpur,+60 17-230 9130,enquiries.sg@smallwonderpreschool.com,,3.0725601,101.6758396
Pusat Jagaan Sehati Sdn. Bhd.,"1, Jalan Kelab Ukay 5, Bukit Antarabangsa, 68000 Ampang Jaya, Selangor",68000,Selangor,Ampang Jaya,+60 3-4106 2882,,,3.1972737,101.7702982
Taska Muhammad,"31, Jalan Dato Senu 18, Taman Dato Senu, 5100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",5100,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 13-280 2132,,,3.1949268,101.6955941
PERMATA SUNGAI BESI ( PAPN SUNGAI BESI),"Sungai Besi, 57000 Kuala Lumpur, Federal Territory of Kuala Lumpur",57000,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 11-1602 9964,,,3.057444,101.71787
The Little Professor Kindergarten setapak,"NO.1, Lorong Ibukota 6, Taman Ibukota, 53100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",53100,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 17-675 2685,,,3.2073697,101.7146417
Tadika ABS Bandar Baru Selayang,"2-1, Jalan 2/6, Dataran Templer, 68100 Batu Caves, Selangor",68100,Selangor,Batu Caves,+60 13-639 5299,abs.sriserdang@gmail.com,,3.2555186,101.6560196
Genius Montessori Child Care Centre,"7, B46, Bandar Indera Mahkota, 25200 Kuantan, Pahang",25200,Pahang,Kuantan,+60 13-465 5886,gkloof@gmail.com,Guillaume Kloof,3.8353168,103.3017237
Little Scholars Kindergarten,"B787, Jalan Air Putih 1, Taman Indah, 25300 Kuantan, Pahang",25300,Pahang,Kuantan,+60 12-938 0199,h.weiner@4gig.com,Howard Weiner,3.8338916,103.3386375
TASKA SERI ANNAJAH,"Bangi, NO 46, Jalan Impian Putra 2/2, Taman Impian Putra, 43000 Kajang, Selangor",43000,Selangor,Kajang,+60 19-241 0395,,,2.8927368,101.7748643
Little Caliphs Subang Bestari - Tadika Damai Subang Bestari,"No 2, Jalan Nova U5/46, Subang Bestari, 40150 Shah Alam, Selangor",40150,Selangor,Shah Alam,+60 12-385 2696,,,3.1767221,101.5404244
Tadika Capital,"No. 4B, Jalan Perumahan Gurney, Kampung Datuk Keramat, 54000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",54000,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 3-2692 2593,,,3.1685013,101.7188881
Pristine Kindergarten,"2, Lengkungan Vethavanam, Taman Kaya, 51100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",51100,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 3-9771 9519,,,3.1909236,101.6830859
WonderWell Kindergarten,"1 Block B, Jalan PJS 8/15, Dataran Mentari, 46150 Subang Jaya, Selangor",46150,Selangor,Subang Jaya,+60 16-944 4173,,,3.0780215,101.6112407
Tadika Kota Intelek - Bandar Parkland,"No 1, Jalan Delima 13, Bandar Parklands, 41200 Klang, Selangor",41200,Selangor,Klang,+60 13-336 3406,,,2.9720472,101.4576951
Kidsity Preschool & Day Care Centre (by Babysity),"G-16, G-16A, 28 BLVD, Jln Perdana 3/10, Pandan Perdana, 55300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",55300,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 11-1544 4134,iambabysity@gmail.com,,3.1191801,101.7447142
Atfaal Bestari Cyberjaya Glomac Branch,"No H-5, Jalan GC9 Glomac, Cyber 4, 63000 Cyberjaya, Selangor",63000,Selangor,Cyberjaya,+60 19-247 2450,,,2.9269792,101.6557973
Tadika Pelita Cerah,"81, Jalan Durian 2, Taman Cheras, 56100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",56100,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 16-997 9297,rakkyz1422@hotmail.com,,3.1024627,101.744303
Taska KEMAS JAIS,"Seksyen 5, 40000 Shah Alam, Selangor",40000,Selangor,Shah Alam,+60 3-5514 3459,tbksungaibatu@gmail.com,,3.0812314,101.5195103
Pusat Jagaan Kanak-Kanak Nurul Ashikin & Tadika Cahaya Anugerah,"3, Jalan Belangkas 2, Kampung Pandan, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",55100,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 3-9201 0211,,,3.1441712,101.734051
Taska Al Amnan,"No 57, Jalan 9/9a, Seksyen 9 Bandar Baru Bangi, 43650 Bangi, Selangor",43650,Selangor,Bangi,+60 13-271 4967,,,2.9580363,101.7498431
Taska Impian IQ,"No. 2, Jalan Impian Putra 2/4, Taman Impian Putra Bangi, Selangor, 43000 Kajang",43000,Selangor,Kajang,+60 13-220 6704,,,2.893956,101.774784
Tadika Little Rafflesia,"151, Jalan P14g, Presint 14, 62050 Putrajaya, Wilayah Persekutuan Putrajaya",62050,Putrajaya,Putrajaya,+60 3-8861 0705,,,2.9514984,101.7229597
Apple Tree Kindergarten. Daycare ( Kajang ）,"10, Jalan Bukit Mewah 30, Taman Bukit Mewah, 43000 Kajang, Selangor",43000,Selangor,Kajang,+60 14-361 2600,,,2.9847959,101.8032367
Tadika Tropika,"2-30, Jalan Pulau Angsa U10/32d, Bandar Nusa Rhu, 40170 Shah, Selangor",40170,Selangor,Shah,+60 16-331 8400,harmonie@q-dees.com,Harmonie Ngooi,3.1263819,101.4982506
MyYellowHouse Kindergarten,"1, Jalan Kelab Ukay 5, Bukit Antarabangsa, 68000 Ampang, Selangor",68000,Selangor,Ampang Jaya,+60 10-246 2378,,,3.1965142,101.7727341
Little Caliphs Tanjung Malim,"No.41, Jalan U3, Taman Universiti, 35900 Tanjong Malim, Perak",35900,Perak,Tanjong Malim,+60 13-208 0807,,,3.682948,101.528256
Koolkidz Child Care Centre,"Jln Setia Gemilang BG U13/BG, Setia Alam, 40170 Shah Alam, Selangor",40170,Selangor,Shah Alam,+60 11-1087 7939,,,3.1282081,101.4684988
