Tahun/Level,Subjek,Bidang / Topik,Kemahiran / Subtopik,Kod Kemahiran
Tahun 5,Bahasa Melayu,Membaca,Membaca dan memahami teks – soalan KBAT,BM-T5-MB01
Tahun 5,Bahasa Melayu,Tatabahasa,"Tanda Baca: koma, noktah bertindih, sempang",BM-T5-T01
Tahun 5,Bahasa Melayu,Tatabahasa,Ayat Aktif dan Ayat Pasif,BM-T5-T02
Tahun 5,Bahasa Melayu,Tatabahasa,Peribahasa: Perumpamaan,BM-T5-T03
Tahun 5,Bahasa Melayu,Penulisan,Menulis karangan perbincangan,BM-T5-P01
Tahun 5,Chinese,Aksara,Aksara Tahun 5 (~500 aksara kumulatif),ZH-T5-A01
Tahun 5,Chinese,Idiom,Peribahasa Cina (成语): lengkap dan makna,ZH-T5-I01
Tahun 5,Chinese,Tatabahasa,Kenal pasti kesilapan tatabahasa dalam ayat,ZH-T5-G01
Tahun 5,Chinese,Bacaan,Memahami teks fakta – soalan KBAT,ZH-T5-B01
Tahun 5,Geography,Asia Tenggara,Ibu negeri negara ASEAN,GEO-T5-AT01
Tahun 5,Geography,Asia Tenggara,Ciri-ciri fizikal negara ASEAN,GEO-T5-AT02
Tahun 5,Geography,Dunia,Benua-benua dunia dan ciri-cirinya,GEO-T5-DU01
Tahun 5,Geography,Dunia,Lautan-lautan dunia,GEO-T5-DU02
Tahun 5,Geography,Iklim Dunia,"Zon iklim dunia: tropika, sederhana, kutub",GEO-T5-IK01
Tahun 5,Geography,Iklim Dunia,Garis khatulistiwa dan pengaruhnya,GEO-T5-IK02
Tahun 5,Geography,Alam Sekitar,"Bencana alam: banjir, tanah runtuh, ribut",GEO-T5-AS01
Tahun 5,Sejarah,Penjajahan,Kejatuhan Melaka kepada Portugis (1511),SJ-T5-PJ01
Tahun 5,Sejarah,Penjajahan,Penjajahan Belanda di Melaka,SJ-T5-PJ02
Tahun 5,Sejarah,Penjajahan,Penjajahan British: Sistem Residen,SJ-T5-PJ03
Tahun 5,Sejarah,Perlembagaan,Islam sebagai agama rasmi Malaysia,SJ-T5-PM01
Tahun 5,Sejarah,Perlembagaan,Yang di-Pertuan Agong: peranan dan kuasa,SJ-T5-PM02
Tahun 5,Sejarah,Perlembagaan,Hak asasi rakyat Malaysia dalam Perlembagaan,SJ-T5-PM03
Tahun 6,Matematik,Nombor & Operasi,Operasi bergabung dalam lingkungan 1 juta,MAT-T6-N01
Tahun 6,Matematik,Pecahan,Bahagi pecahan dengan nombor bulat,MAT-T6-PC01
Tahun 6,Matematik,Perpuluhan,Darab dan bahagi perpuluhan,MAT-T6-PP01
Tahun 6,Matematik,Peratusan,Masalah peratusan: untung dan rugi,MAT-T6-PE01
Tahun 6,Matematik,Nisbah,Membahagikan kuantiti mengikut nisbah,MAT-T6-NS01
Tahun 6,Matematik,Koordinat,"Mengenal pasti koordinat (x,y) dalam satah Cartes",MAT-T6-KO01
Tahun 6,Matematik,Koordinat,Mengira jarak antara dua titik,MAT-T6-KO02
Tahun 6,Matematik,Statistik,"Mengira min, mod dan median",MAT-T6-ST01
Tahun 6,Matematik,Statistik,Membaca pelbagai jenis graf,MAT-T6-ST02
Tahun 6,Matematik,Kebarangkalian,"Konsep kebarangkalian: pasti, mungkin, mustahil",MAT-T6-KB01
Tahun 6,Sains,Sains Hayat,"Mikroorganisma: jenis, peranan dan bahaya",SCI-T6-H01
Tahun 6,Sains,Sains Hayat,Rantai makanan dan siratan makanan,SCI-T6-H02
Tahun 6,Sains,Sains Fizikal,Gerhana matahari dan gerhana bulan,SCI-T6-F01
Tahun 6,Sains,Sains Fizikal,Sistem suria: planet dan graviti,SCI-T6-F02
Tahun 6,Sains,Sains Bumi,Kitaran air,SCI-T6-E01
Tahun 6,Sains,Sains Bumi,"Isu alam sekitar: pemanasan global, penipisan ozon",SCI-T6-E02
Tahun 6,English,Reading,Bacaan komprehensif – penilaian kritikal,ENG-T6-R01
Tahun 6,English,Grammar,Semua tenses – review dan penggunaan tepat,ENG-T6-G01
Tahun 6,English,Grammar,"Klausa relatif (who, which, that)",ENG-T6-G02
Tahun 6,English,Grammar,Ayat bersyarat – if clauses (Type 1 & 2),ENG-T6-G03
Tahun 6,English,Writing,Menulis esei perbincangan dua pendirian,ENG-T6-W01
Tahun 6,Bahasa Melayu,Membaca,Bacaan komprehensif: prosa klasik dan moden,BM-T6-MB01
Tahun 6,Bahasa Melayu,Tatabahasa,Kesilapan ejaan dan tatabahasa dalam ayat,BM-T6-T01
Tahun 6,Bahasa Melayu,Tatabahasa,Peribahasa: Bidalan dan pepatah,BM-T6-T02
Tahun 6,Bahasa Melayu,Penulisan,Menulis karangan imaginatif dan berita,BM-T6-P01
Tahun 6,Bahasa Melayu,Seni Bahasa,Memahami dan menganalisis puisi moden,BM-T6-SB01
Tahun 6,Chinese,Aksara,Aksara Tahun 6 (~600+ aksara kumulatif),ZH-T6-A01
Tahun 6,Chinese,Bacaan,Bacaan komprehensif – artikel fakta dan naratif,ZH-T6-B01
Tahun 6,Chinese,Tatabahasa,Kesilapan tatabahasa: kenal pasti dan betulkan,ZH-T6-G01
Tahun 6,Chinese,Puisi Klasik,Memahami puisi klasik Cina (古诗),ZH-T6-PK01
Tahun 6,Geography,Dunia,Zon masa dunia dan perbezaan masa,GEO-T6-DU01
Tahun 6,Geography,Dunia,Negara-negara membangun vs maju,GEO-T6-DU02
Tahun 6,Geography,Alam Sekitar,"Isu global: pemanasan global, penebangan hutan",GEO-T6-AS01
Tahun 6,Geography,Alam Sekitar,Kepentingan menjaga alam sekitar,GEO-T6-AS02
Tahun 6,Geography,Malaysia,"Pembangunan ekonomi Malaysia: pelancongan, perindustrian",GEO-T6-MY01
Tahun 6,Geography,Peta,Membaca dan menafsir peta topografi,GEO-T6-PT01
Tahun 6,Sejarah,Kemerdekaan,Perjuangan kemerdekaan Malaysia,SJ-T6-KM01
Tahun 6,Sejarah,Kemerdekaan,Tokoh-tokoh kemerdekaan dan sumbangan mereka,SJ-T6-KM02
Tahun 6,Sejarah,Pembentukan Malaysia,Penubuhan Malaysia 16 September 1963,SJ-T6-PM01
Tahun 6,Sejarah,Pembentukan Malaysia,Cabaran selepas pembentukan Malaysia,SJ-T6-PM02
Tahun 6,Sejarah,Perlembagaan,Rukun Negara: prinsip dan maknanya,SJ-T6-PN01
Tahun 6,Sejarah,Perlembagaan,"Struktur kerajaan: Eksekutif, Legislatif, Kehakiman",SJ-T6-PN02
Tahun 6,Sejarah,Pencapaian,Pencapaian Malaysia selepas merdeka,SJ-T6-PC01
Tahun 6,Sejarah,Pencapaian,Perdana Menteri Malaysia dan sumbangan mereka,SJ-T6-PC02
